feature_set,n_features,roc_auc,pr_auc,log_loss,brier,delta_pr_auc,precision_at_top10pct,precision_at_top20pct
1. Genre/category + platform,79,0.7821018895861431,0.5166791575945063,0.4111719875712116,0.12935086622346703,,0.600326264274062,0.47980416156670747
2. + Release timing,82,0.7801347165120789,0.5082357930735428,0.41308879994650666,0.1300957457404597,-0.008443364520963503,0.5921696574225123,0.47980416156670747
3. + Developer/publisher,86,0.8007892733786619,0.5569631061290401,0.39689688765833325,0.12394113671321448,0.04872731305549727,0.6541598694942904,0.507547939616483
4. + Stable store metadata (CONSERVATIVE),90,0.8111476557505245,0.5765218095278535,0.3873432001731044,0.12124905493814328,0.019558703398813382,0.6827079934747146,0.5226438188494492
5. + Current price,93,0.824854909397331,0.6237810770012854,0.36920288722655203,0.11402935550851016,0.0472592674734319,0.7471451876019576,0.551203590371277
6. + Ambiguous store metadata (BROADER SNAPSHOT),196,0.911166276447306,0.7666705531216029,0.2857535732944301,0.08809234866562682,0.14288947612031755,0.8588907014681892,0.6850265197878417
